market,fixed_fee_usd,multiplier_scale_lambda,effective_fixed_fee_usd,fixed_friction_contribution_r,equivariance_fee_usd_from_four_dollar_anchor
NQ,0.04,0.01,4.0,0.011526218096603426,0.04
NQ,0.04,0.025,1.5999999999999999,0.0046104872386413705,0.1
NQ,0.04,0.05,0.7999999999999999,0.0023052436193206852,0.2
NQ,0.04,0.1,0.39999999999999997,0.0011526218096603426,0.4
NQ,0.04,0.25,0.16,0.00046104872386413707,1.0
NQ,0.04,0.5,0.08,0.00023052436193206853,2.0
NQ,0.04,1.0,0.04,0.00011526218096603427,4.0
NQ,0.1,0.01,10.0,0.028815545241508565,0.04
NQ,0.1,0.025,4.0,0.011526218096603426,0.1
NQ,0.1,0.05,2.0,0.005763109048301713,0.2
NQ,0.1,0.1,1.0,0.0028815545241508565,0.4
NQ,0.1,0.25,0.4,0.0011526218096603426,1.0
NQ,0.1,0.5,0.2,0.0005763109048301713,2.0
NQ,0.1,1.0,0.1,0.00028815545241508565,4.0
NQ,0.4,0.01,40.0,0.11526218096603426,0.04
NQ,0.4,0.025,16.0,0.046104872386413705,0.1
NQ,0.4,0.05,8.0,0.023052436193206852,0.2
NQ,0.4,0.1,4.0,0.011526218096603426,0.4
NQ,0.4,0.25,1.6,0.0046104872386413705,1.0
NQ,0.4,0.5,0.8,0.0023052436193206852,2.0
NQ,0.4,1.0,0.4,0.0011526218096603426,4.0
NQ,1.0,0.01,100.0,0.28815545241508567,0.04
NQ,1.0,0.025,40.0,0.11526218096603426,0.1
NQ,1.0,0.05,20.0,0.05763109048301713,0.2
NQ,1.0,0.1,10.0,0.028815545241508565,0.4
NQ,1.0,0.25,4.0,0.011526218096603426,1.0
NQ,1.0,0.5,2.0,0.005763109048301713,2.0
NQ,1.0,1.0,1.0,0.0028815545241508565,4.0
NQ,2.0,0.01,200.0,0.5763109048301713,0.04
NQ,2.0,0.025,80.0,0.23052436193206852,0.1
NQ,2.0,0.05,40.0,0.11526218096603426,0.2
NQ,2.0,0.1,20.0,0.05763109048301713,0.4
NQ,2.0,0.25,8.0,0.023052436193206852,1.0
NQ,2.0,0.5,4.0,0.011526218096603426,2.0
NQ,2.0,1.0,2.0,0.005763109048301713,4.0
NQ,4.0,0.01,400.0,1.1526218096603427,0.04
NQ,4.0,0.025,160.0,0.46104872386413703,0.1
NQ,4.0,0.05,80.0,0.23052436193206852,0.2
NQ,4.0,0.1,40.0,0.11526218096603426,0.4
NQ,4.0,0.25,16.0,0.046104872386413705,1.0
NQ,4.0,0.5,8.0,0.023052436193206852,2.0
NQ,4.0,1.0,4.0,0.011526218096603426,4.0
NQ,8.0,0.01,800.0,2.3052436193206853,0.04
NQ,8.0,0.025,320.0,0.9220974477282741,0.1
NQ,8.0,0.05,160.0,0.46104872386413703,0.2
NQ,8.0,0.1,80.0,0.23052436193206852,0.4
NQ,8.0,0.25,32.0,0.09220974477282741,1.0
NQ,8.0,0.5,16.0,0.046104872386413705,2.0
NQ,8.0,1.0,8.0,0.023052436193206852,4.0
ES,0.04,0.01,4.0,0.010147917943208351,0.04
ES,0.04,0.025,1.5999999999999999,0.004059167177283341,0.1
ES,0.04,0.05,0.7999999999999999,0.0020295835886416703,0.2
ES,0.04,0.1,0.39999999999999997,0.0010147917943208351,0.4
