market,date,period,classification,scheduled_close
NQ,2012-09-24,2011-2017,scheduled_full_window_absent_from_source,2012-09-24T16:15:00-04:00
NQ,2012-10-29,2011-2017,scheduled_full_window_absent_from_source,2012-10-29T16:15:00-04:00
NQ,2012-10-30,2011-2017,scheduled_full_window_absent_from_source,2012-10-30T16:15:00-04:00
NQ,2011-01-04,2011-2017,source_observed_incomplete_270_bar_window,2011-01-04T16:15:00-05:00
NQ,2011-01-06,2011-2017,source_observed_incomplete_270_bar_window,2011-01-06T16:15:00-05:00
NQ,2011-03-09,2011-2017,source_observed_incomplete_270_bar_window,2011-03-09T16:15:00-05:00
NQ,2011-03-10,2011-2017,source_observed_incomplete_270_bar_window,2011-03-10T16:15:00-05:00
NQ,2011-03-15,2011-2017,source_observed_incomplete_270_bar_window,2011-03-15T16:15:00-04:00
NQ,2011-04-11,2011-2017,source_observed_incomplete_270_bar_window,2011-04-11T16:15:00-04:00
NQ,2011-04-21,2011-2017,source_observed_incomplete_270_bar_window,2011-04-21T16:15:00-04:00
NQ,2011-06-13,2011-2017,source_observed_incomplete_270_bar_window,2011-06-13T16:15:00-04:00
NQ,2011-07-29,2011-2017,source_observed_incomplete_270_bar_window,2011-07-29T16:15:00-04:00
NQ,2011-10-18,2011-2017,source_observed_incomplete_270_bar_window,2011-10-18T16:15:00-04:00
NQ,2011-10-19,2011-2017,source_observed_incomplete_270_bar_window,2011-10-19T16:15:00-04:00
NQ,2011-11-21,2011-2017,source_observed_incomplete_270_bar_window,2011-11-21T16:15:00-05:00
NQ,2011-11-28,2011-2017,source_observed_incomplete_270_bar_window,2011-11-28T16:15:00-05:00
NQ,2011-12-05,2011-2017,source_observed_incomplete_270_bar_window,2011-12-05T16:15:00-05:00
NQ,2012-03-05,2011-2017,source_observed_incomplete_270_bar_window,2012-03-05T16:15:00-05:00
NQ,2012-03-09,2011-2017,source_observed_incomplete_270_bar_window,2012-03-09T16:15:00-05:00
NQ,2012-05-10,2011-2017,source_observed_incomplete_270_bar_window,2012-05-10T16:15:00-04:00
NQ,2012-05-21,2011-2017,source_observed_incomplete_270_bar_window,2012-05-21T16:15:00-04:00
NQ,2012-06-07,2011-2017,source_observed_incomplete_270_bar_window,2012-06-07T16:15:00-04:00
NQ,2012-07-06,2011-2017,source_observed_incomplete_270_bar_window,2012-07-06T16:15:00-04:00
NQ,2012-07-10,2011-2017,source_observed_incomplete_270_bar_window,2012-07-10T16:15:00-04:00
NQ,2012-09-11,2011-2017,source_observed_incomplete_270_bar_window,2012-09-11T16:15:00-04:00
NQ,2012-09-17,2011-2017,source_observed_incomplete_270_bar_window,2012-09-17T16:15:00-04:00
NQ,2012-11-28,2011-2017,source_observed_incomplete_270_bar_window,2012-11-28T17:00:00-05:00
NQ,2013-02-05,2011-2017,source_observed_incomplete_270_bar_window,2013-02-05T17:00:00-05:00
NQ,2013-07-25,2011-2017,source_observed_incomplete_270_bar_window,2013-07-25T17:00:00-04:00
NQ,2013-12-13,2011-2017,source_observed_incomplete_270_bar_window,2013-12-13T17:00:00-05:00
NQ,2014-02-13,2011-2017,source_observed_incomplete_270_bar_window,2014-02-13T17:00:00-05:00
NQ,2014-02-24,2011-2017,source_observed_incomplete_270_bar_window,2014-02-24T17:00:00-05:00
NQ,2020-03-09,2020-2021,source_observed_incomplete_270_bar_window,2020-03-09T17:00:00-04:00
NQ,2020-03-12,2020-2021,source_observed_incomplete_270_bar_window,2020-03-12T17:00:00-04:00
NQ,2020-03-16,2020-2021,source_observed_incomplete_270_bar_window,2020-03-16T17:00:00-04:00
NQ,2020-03-18,2020-2021,source_observed_incomplete_270_bar_window,2020-03-18T17:00:00-04:00
ES,2011-12-19,2011-2017,scheduled_full_window_absent_from_source,2011-12-19T16:15:00-05:00
ES,2012-06-18,2011-2017,scheduled_full_window_absent_from_source,2012-06-18T16:15:00-04:00
ES,2012-10-29,2011-2017,scheduled_full_window_absent_from_source,2012-10-29T16:15:00-04:00
ES,2012-10-30,2011-2017,scheduled_full_window_absent_from_source,2012-10-30T16:15:00-04:00
ES,2011-01-04,2011-2017,source_observed_incomplete_270_bar_window,2011-01-04T16:15:00-05:00
ES,2011-01-06,2011-2017,source_observed_incomplete_270_bar_window,2011-01-06T16:15:00-05:00
ES,2011-03-09,2011-2017,source_observed_incomplete_270_bar_window,2011-03-09T16:15:00-05:00
ES,2011-03-10,2011-2017,source_observed_incomplete_270_bar_window,2011-03-10T16:15:00-05:00
ES,2011-03-15,2011-2017,source_observed_incomplete_270_bar_window,2011-03-15T16:15:00-04:00
ES,2011-04-11,2011-2017,source_observed_incomplete_270_bar_window,2011-04-11T16:15:00-04:00
ES,2011-04-21,2011-2017,source_observed_incomplete_270_bar_window,2011-04-21T16:15:00-04:00
ES,2011-04-25,2011-2017,source_observed_incomplete_270_bar_window,2011-04-25T16:15:00-04:00
ES,2011-07-29,2011-2017,source_observed_incomplete_270_bar_window,2011-07-29T16:15:00-04:00
ES,2011-10-18,2011-2017,source_observed_incomplete_270_bar_window,2011-10-18T16:15:00-04:00
ES,2011-11-21,2011-2017,source_observed_incomplete_270_bar_window,2011-11-21T16:15:00-05:00
ES,2012-03-19,2011-2017,source_observed_incomplete_270_bar_window,2012-03-19T16:15:00-04:00
ES,2012-05-10,2011-2017,source_observed_incomplete_270_bar_window,2012-05-10T16:15:00-04:00
ES,2012-06-07,2011-2017,source_observed_incomplete_270_bar_window,2012-06-07T16:15:00-04:00
ES,2012-07-05,2011-2017,source_observed_incomplete_270_bar_window,2012-07-05T16:15:00-04:00
ES,2012-07-06,2011-2017,source_observed_incomplete_270_bar_window,2012-07-06T16:15:00-04:00
ES,2012-07-10,2011-2017,source_observed_incomplete_270_bar_window,2012-07-10T16:15:00-04:00
ES,2012-08-06,2011-2017,source_observed_incomplete_270_bar_window,2012-08-06T16:15:00-04:00
ES,2012-08-20,2011-2017,source_observed_incomplete_270_bar_window,2012-08-20T16:15:00-04:00
ES,2012-09-10,2011-2017,source_observed_incomplete_270_bar_window,2012-09-10T16:15:00-04:00
ES,2012-09-11,2011-2017,source_observed_incomplete_270_bar_window,2012-09-11T16:15:00-04:00
ES,2012-11-28,2011-2017,source_observed_incomplete_270_bar_window,2012-11-28T17:00:00-05:00
ES,2013-02-05,2011-2017,source_observed_incomplete_270_bar_window,2013-02-05T17:00:00-05:00
ES,2013-07-25,2011-2017,source_observed_incomplete_270_bar_window,2013-07-25T17:00:00-04:00
ES,2013-10-07,2011-2017,source_observed_incomplete_270_bar_window,2013-10-07T17:00:00-04:00
ES,2014-02-13,2011-2017,source_observed_incomplete_270_bar_window,2014-02-13T17:00:00-05:00
ES,2014-02-24,2011-2017,source_observed_incomplete_270_bar_window,2014-02-24T17:00:00-05:00
ES,2020-03-09,2020-2021,source_observed_incomplete_270_bar_window,2020-03-09T17:00:00-04:00
ES,2020-03-12,2020-2021,source_observed_incomplete_270_bar_window,2020-03-12T17:00:00-04:00
ES,2020-03-16,2020-2021,source_observed_incomplete_270_bar_window,2020-03-16T17:00:00-04:00
ES,2020-03-18,2020-2021,source_observed_incomplete_270_bar_window,2020-03-18T17:00:00-04:00
