market,period,calendar_full_window_sessions,calendar_scheduled_short_sessions,source_observed_full_window_dates,calendar_sessions_absent_from_source,source_observed_but_not_270_bars,complete_270_bar_sessions,headline_signals,source_coverage_rate,complete_calendar_rate
NQ,2011-2017,1748,59,1745,3,29,1716,1693,0.9982837528604119,0.9816933638443935
NQ,2018-2019,497,18,497,0,0,497,488,1.0,1.0
NQ,2020-2021,502,16,502,0,4,498,492,1.0,0.9920318725099602
NQ,2022-2023,498,18,498,0,0,498,490,1.0,1.0
NQ,2024-2026,0,0,0,0,0,0,0,,
ES,2011-2017,1748,59,1744,4,27,1717,1703,0.9977116704805492,0.9822654462242563
ES,2018-2019,497,18,497,0,0,497,492,1.0,1.0
ES,2020-2021,502,16,502,0,4,498,496,1.0,0.9920318725099602
ES,2022-2023,498,18,498,0,0,498,495,1.0,1.0
ES,2024-2026,0,0,0,0,0,0,0,,
