market,date,sierra_width,databento_width,absolute_difference,sierra_eligible_4_120,databento_eligible_4_120,classification_disagreement
NQ,2023-01-03,190.75,190.75,0.0,False,False,False
NQ,2023-01-04,92.0,92.0,0.0,True,True,False
NQ,2023-01-05,110.0,110.0,0.0,True,True,False
NQ,2023-01-06,178.75,178.75,0.0,False,False,False
NQ,2023-01-09,117.0,117.0,0.0,True,True,False
NQ,2023-01-10,108.0,108.0,0.0,True,True,False
NQ,2023-01-11,72.25,72.25,0.0,True,True,False
NQ,2023-01-12,207.5,207.5,0.0,False,False,False
NQ,2023-01-13,68.5,68.5,0.0,True,True,False
NQ,2023-01-17,77.75,77.75,0.0,True,True,False
NQ,2023-01-18,54.5,54.5,0.0,True,True,False
NQ,2023-01-19,97.75,97.75,0.0,True,True,False
NQ,2023-01-20,89.5,89.5,0.0,True,True,False
NQ,2023-01-23,149.75,149.75,0.0,False,False,False
NQ,2023-01-24,111.25,111.25,0.0,True,True,False
NQ,2023-01-25,102.0,102.0,0.0,True,True,False
NQ,2023-01-26,128.0,128.0,0.0,False,False,False
NQ,2023-01-27,105.25,105.25,0.0,True,True,False
NQ,2023-01-30,72.0,72.0,0.0,True,True,False
NQ,2023-01-31,86.25,86.25,0.0,True,True,False
NQ,2023-02-01,56.75,56.75,0.0,True,True,False
NQ,2023-02-02,79.5,79.5,0.0,True,True,False
NQ,2023-02-03,195.75,195.75,0.0,False,False,False
NQ,2023-02-06,66.5,66.5,0.0,True,True,False
NQ,2023-02-07,65.5,65.5,0.0,True,True,False
NQ,2023-02-08,89.5,89.5,0.0,True,True,False
NQ,2023-02-09,94.25,94.25,0.0,True,True,False
NQ,2023-02-10,82.5,82.5,0.0,True,True,False
NQ,2023-02-13,113.75,113.75,0.0,True,True,False
NQ,2023-02-14,211.25,211.25,0.0,False,False,False
NQ,2023-02-15,88.0,88.0,0.0,True,True,False
NQ,2023-02-16,95.5,95.5,0.0,True,True,False
NQ,2023-02-17,127.5,127.5,0.0,False,False,False
NQ,2023-02-21,73.5,73.5,0.0,True,True,False
NQ,2023-02-22,59.0,59.0,0.0,True,True,False
NQ,2023-02-23,62.5,62.5,0.0,True,True,False
NQ,2023-02-24,87.75,87.75,0.0,True,True,False
NQ,2023-02-27,45.25,45.25,0.0,True,True,False
NQ,2023-02-28,71.75,71.75,0.0,True,True,False
NQ,2023-03-01,75.5,75.5,0.0,True,True,False
NQ,2023-03-02,65.25,65.25,0.0,True,True,False
NQ,2023-03-03,88.0,88.0,0.0,True,True,False
NQ,2023-03-06,49.25,49.25,0.0,True,True,False
NQ,2023-03-07,49.75,49.75,0.0,True,True,False
NQ,2023-03-08,61.0,61.0,0.0,True,True,False
NQ,2023-03-09,109.5,109.5,0.0,True,True,False
NQ,2023-03-10,162.5,162.5,0.0,False,False,False
NQ,2023-03-13,216.75,216.75,0.0,False,False,False
NQ,2023-03-14,90.25,90.25,0.0,True,True,False
NQ,2023-03-15,82.75,82.75,0.0,True,True,False
NQ,2023-03-16,104.5,104.5,0.0,True,True,False
NQ,2023-03-17,72.25,72.25,0.0,True,True,False
NQ,2023-03-20,103.5,103.5,0.0,True,True,False
NQ,2023-03-21,54.5,54.5,0.0,True,True,False
NQ,2023-03-22,44.5,44.5,0.0,True,True,False
NQ,2023-03-23,49.25,49.25,0.0,True,True,False
NQ,2023-03-24,108.5,108.5,0.0,True,True,False
NQ,2023-03-27,84.5,84.5,0.0,True,True,False
NQ,2023-03-28,94.5,94.5,0.0,True,True,False
NQ,2023-03-29,47.0,47.0,0.0,True,True,False
NQ,2023-03-30,44.25,44.25,0.0,True,True,False
NQ,2023-03-31,73.75,73.75,0.0,True,True,False
NQ,2023-04-03,63.5,63.5,0.0,True,True,False
NQ,2023-04-04,66.25,66.25,0.0,True,True,False
NQ,2023-04-05,62.0,62.0,0.0,True,True,False
NQ,2023-04-06,60.25,60.25,0.0,True,True,False
NQ,2023-04-10,82.75,82.75,0.0,True,True,False
NQ,2023-04-11,67.75,67.75,0.0,True,True,False
NQ,2023-04-12,147.0,147.0,0.0,False,False,False
NQ,2023-04-13,61.0,61.0,0.0,True,True,False
NQ,2023-04-14,118.25,118.25,0.0,True,True,False
NQ,2023-04-17,64.75,64.75,0.0,True,True,False
NQ,2023-04-18,55.75,55.75,0.0,True,True,False
NQ,2023-04-19,52.25,52.25,0.0,True,True,False
NQ,2023-04-20,78.5,78.5,0.0,True,True,False
NQ,2023-04-21,79.5,79.5,0.0,True,True,False
NQ,2023-04-24,80.0,80.0,0.0,True,True,False
NQ,2023-04-25,49.5,49.5,0.0,True,True,False
NQ,2023-04-26,65.5,65.5,0.0,True,True,False
NQ,2023-04-27,49.0,49.0,0.0,True,True,False
NQ,2023-04-28,71.75,71.75,0.0,True,True,False
NQ,2023-05-01,42.5,42.5,0.0,True,True,False
NQ,2023-05-02,47.5,47.5,0.0,True,True,False
NQ,2023-05-03,54.0,54.0,0.0,True,True,False
NQ,2023-05-04,59.0,59.0,0.0,True,True,False
NQ,2023-05-05,68.75,68.75,0.0,True,True,False
NQ,2023-05-08,49.0,49.0,0.0,True,True,False
NQ,2023-05-09,37.0,37.0,0.0,True,True,False
NQ,2023-05-10,95.75,95.75,0.0,True,True,False
NQ,2023-05-11,61.0,61.0,0.0,True,True,False
NQ,2023-05-12,48.25,48.25,0.0,True,True,False
NQ,2023-05-15,54.0,54.0,0.0,True,True,False
NQ,2023-05-16,81.25,81.25,0.0,True,True,False
NQ,2023-05-17,64.5,64.5,0.0,True,True,False
NQ,2023-05-18,65.25,65.25,0.0,True,True,False
NQ,2023-05-19,50.75,50.75,0.0,True,True,False
NQ,2023-05-22,99.75,99.75,0.0,True,True,False
NQ,2023-05-23,54.75,54.75,0.0,True,True,False
NQ,2023-05-24,54.25,54.25,0.0,True,True,False
NQ,2023-05-25,114.5,114.5,0.0,True,True,False
NQ,2023-05-26,109.25,109.25,0.0,True,True,False
NQ,2023-05-30,131.75,131.75,0.0,False,False,False
NQ,2023-05-31,88.25,88.25,0.0,True,True,False
NQ,2023-06-01,71.75,71.75,0.0,True,True,False
NQ,2023-06-02,154.5,154.5,0.0,False,False,False
NQ,2023-06-05,84.5,84.5,0.0,True,True,False
NQ,2023-06-06,57.25,57.25,0.0,True,True,False
NQ,2023-06-07,83.25,83.25,0.0,True,True,False
NQ,2023-06-08,69.0,69.0,0.0,True,True,False
NQ,2023-06-09,111.5,111.5,0.0,True,True,False
NQ,2023-06-12,37.0,37.0,0.0,True,True,False
NQ,2023-06-13,118.25,118.25,0.0,True,True,False
NQ,2023-06-14,71.25,71.25,0.0,True,True,False
NQ,2023-06-15,108.25,108.25,0.0,True,True,False
NQ,2023-06-16,142.5,142.5,0.0,False,False,False
NQ,2023-06-20,106.25,106.25,0.0,True,True,False
NQ,2023-06-21,102.75,102.75,0.0,True,True,False
NQ,2023-06-22,132.75,132.75,0.0,False,False,False
NQ,2023-06-23,102.5,102.5,0.0,True,True,False
NQ,2023-06-26,115.25,115.25,0.0,True,True,False
NQ,2023-06-27,72.5,72.5,0.0,True,True,False
NQ,2023-06-28,82.5,82.5,0.0,True,True,False
NQ,2023-06-29,66.75,66.75,0.0,True,True,False
NQ,2023-06-30,92.0,92.0,0.0,True,True,False
NQ,2023-07-05,103.25,103.25,0.0,True,True,False
NQ,2023-07-06,85.0,85.0,0.0,True,True,False
NQ,2023-07-07,88.0,88.0,0.0,True,True,False
NQ,2023-07-10,129.25,129.25,0.0,False,False,False
NQ,2023-07-11,92.0,92.0,0.0,True,True,False
NQ,2023-07-12,61.5,61.5,0.0,True,True,False
NQ,2023-07-13,69.25,69.25,0.0,True,True,False
NQ,2023-07-14,90.25,90.25,0.0,True,True,False
NQ,2023-07-17,72.75,72.75,0.0,True,True,False
NQ,2023-07-18,83.0,83.0,0.0,True,True,False
NQ,2023-07-19,59.5,59.5,0.0,True,True,False
NQ,2023-07-20,63.25,63.25,0.0,True,True,False
NQ,2023-07-21,98.0,98.0,0.0,True,True,False
NQ,2023-07-24,135.0,135.0,0.0,False,False,False
NQ,2023-07-25,82.0,82.0,0.0,True,True,False
NQ,2023-07-26,73.25,73.25,0.0,True,True,False
NQ,2023-07-27,81.0,81.0,0.0,True,True,False
NQ,2023-07-28,104.0,104.0,0.0,True,True,False
NQ,2023-07-31,99.75,99.75,0.0,True,True,False
NQ,2023-08-01,43.75,43.75,0.0,True,True,False
NQ,2023-08-02,87.25,87.25,0.0,True,True,False
NQ,2023-08-03,106.75,106.75,0.0,True,True,False
